Colonia,NombreTempo,Religion,UbicaTemplo,MinistroTemplo
182,"Templo ""San Diego""",1,Av. Tepeyac y P. Ixtepete,Miguel Ortíz Sauza
423,Capilla San Juan de Dios,1,Laureles No. 55,
323,-Inexistente-,99,,
144,"Iglesia de Compañerismo Cristiano "" La Casa del Alfarero""",2,Tulipanes N° 824 entre Santa Lucrecia,
187,Parroquia María de Guadalupe,1,"Enrique Gómez Carrillo Nº 5329, Tel. 36730392",
189,Virgen de los Belenes,1,Emiliano Zapata y Canal,
190,"Templo ""Espíritu Santo""",1,,
191,"Templo ""La Guadalupana""",1,Emiliano Zapata Nº 515,
191,"Parroquia ""La Familia de Nazareth""",1,"7a Ote. Nº 204, tel. 36241555",
149,Inexistente,99,,
40,Inexistente,99,,
454,Inexistente,99,,
528,Iglesia  (terreno),1,Guamuchil y Jacarandas,Jesús Ordaz
388,Inexistente,99,,
533,Inexistente,99,,
532,Inexistente,99,,
197,"Paroquia ""San Juan Bautista""",1,"Palenque Nº 422, tel. 36343255 y 36328250",
199,"Templo ""Sr. de las Maravillas""",1,"Jardines de la Palma y Calzada del Vergel Nº 1601, Tel. 38612123",
200,"Templo ""El Buen Pastor""",1,"Melchor Ocampo No. 510, Tel. 3656-0391",
202,Rey de Reyes (Presbiteriana),10,"Gabrielle D' Annunzio Nº 5076, Tel. 36734668 / 36734669",Kenton Marcos Wood
203,"Templo ""Señor de la Asención""",1,"López Cotilla 142, Tel: 36.27.01.01",
205,San Nicólas de Bari,1,"Géminis y Cáncer Nº 4192 A, Tel. 38132123",
210,Santa Clara de Asís,1,"Patria Nº 3260, Tel. 3634 3460",
210,San Cruz de las Colinas,1,"Av. Tabachines Nº 3801, Tel. 31350707",
211,"Templo Jesucristo, Sumo y Eterno Sacerdore",1,Av. Conchita No. 3015 Tel. 3631-7333,
215,"Templo ""Nuestra Señora de la Salud""",1,"Lomas Altas No. 265, Tel. 3641-0232",
218,"Parroquia ""Los Sagrados Corazones de Jesús y María""",1,Chapala y Azaleas,
218,"Capilla ""Nuestra Señora del Rosario""",1,Chapala y Puente Grande,
220,"Templo ""Virgen de la Medalla Milagrosa""",1,"Privada Las Flores N º 1, Tel. 38616256",Enrique Santos Beas
221,"Templo ""Nuestra Señora del Refugio de Pecadores""",1,"Marbella Nº 2395, Tel. 36562626",
222,"Templo ""Señor de los Milagros""",1,"Francisco Villa Nº 315, Tel. 36726547",
228,Nuestra Señora del Refugio,1,San Juan de los Lagos y Guadalupe Victoria,
272,"Igesia "" Sagrado Corazón de Jesús Eucaristica""",1,Arco Graciano N° 2400,
272,"Casa de Oración "" Misericordia y Verdad",5,Prolongación Los Robles Sur N° 250,
232,Reina de la Paz,1,"Ariosto, Tel. 36270101",
234,"Capilla ""Santa María Magdalena""",1,Hidalgo No. 89,
235,"Templo ""Nuestra Señora de la Defensa""",1,Colima Oriente y Allende,Salvador Ortega Bernal
236,"Templo ""Santa Cruz""",1,,
237,"Capilla ""Sagrado Corazón de Jesús",1,En Gladiolas entre Azucena y Priv. Lirio.,Sr. Cura de Santa Ana Tepetlitan
237,"Templo ""Santísima Trinidad""",1,,
238,"Templo ""Virgen de Guadalupe""",1,José María Martínez y Morelos,
239,Nustra señora de la Esperanza,1,Mesa Colorada Ote.,
243,"Templo ""Nuestra Señora del Tepeyac""",1,Nicolas Bravo,Sr. Cura Juan M.
244,"Templo ""Divina Providencia""",1,"Carretera a Saltillo Nº 3540, Tel. 38618870",
247,"Capilla ""Señor de la Misericordia""",1,,
222,Reina de la Paz,1,"L. Ariosto, Tel. 36270101",
248,Reina de los Mártires Mexicanos,1,"Helios Nº 1221 y Febo, tel. 36204420",Pbro. Juan José Trejo Rosales
249,"Templo ""Santa María de la Montaña""",1,Cereza,
250,Cristo Rey del Universo,1,Puerto Príncipe No. 3275 Tel. 3180-0685,
250,San Juan Bautista,1,Puerto Mazatlán,
250,"Parroquia ""San Cayetano""",1,Puerto Agiobampo No. 3018 Tel. 31.80.49.14,
250,María Inmaculada,1,Puerto Batabampo,
250,Centro de Fe Esperanza y Amor,13,"Bahía Escondida Nº 38, 36842766",
250,"Ancla de Fe, (Bautista Fundamental Independiente)",7,"Puerto Vallarta Nº 72, Tel. 31804940",Pastor Alejandro Reyna González
255,"Templo ""Santo Santiago""",1,"Hidalgo, entre Juárez y Leona Vicario",
259,"Templo ""Nuestra Señora de Guadalupe""",1,"Primero de Enero Nº 142, Tel. 38.34.12.85",
260,"Parroquia ""Cristo Rey""",1,"Sembradores y Agricultores , Tel. 36608797",
262,"Templo ""Cristo Resucitado""",1,"Júpiter Nº 1578, Tel. 36605773",
266,"Templo ""María Madre del Redentor""",1,"Av. Prolongación del Colli, 1045-A, Tel.31.80.17.76",
266,Luz del Mundo,4,"Barcino No. 1616 esquina prolongación colli, Tel. 3180-1094",
275,"Parroquia ""Señor de la Salud""",1,"Ernesto Ladrón de Guevara Nº 1580, Tel. 36320392",
280,Templo de la Salud,1,,
285,Parroquia Santo Niño de Atocha,1,"Pinar Nº 3001, Tel. 36312741 y 3634 3762",
63,-Inexistente-,99,,
139,-Inexistente-,99,,
291,"Templo ""Nuestra Señora del Rosario""",1,"Paseo de los Abedules S/N, a un costado del parque",
293,"Templo ""Sagrado Corazón de Jesús""",1,Chapultepec 1273  Tel. 38.97.08.67,
295,San Roberto Abad,1,"Prado de los Pirules Nº 48, Tel. 31228011",
344,Iglesia Cristiana La Hermosa,2,Fray Toribio de Motolinia No. 1363,Benito Álvarez
223,Inexistente,99,,
480,Inexistente,99,,
297,Nuestra Señora de Guadalupe,1,"Av. Gutiérrez ,  Leona Vicario",Juan Ramón Muñoz Muñoz
322,San Alfonso María de Ligorio,1,"Misión San Antonio No. 100, esq. Misión San Esteban Tel. 36287671",
324,"Templo ""Nuestra Señora de las Victorias""",1,"Acerina Nº 2533, Tel. 31227810",
325,San Alfonso María de Ligorio,1,"Misión San Antonio S/N, Tel. 36287671",
329,"Templo ""La Resurrección del Señor""",1,"Plaza del Sol Nº 253, Tel. 31212493",
338,"Capilla ""Don Bosco""",1,Lucio Blanco y Don Bosco,
343,"Parroquia ""San Esteban""",1,"Hidalgo Nº 152, Tel. 36254087",
345,Parroquia San Isidro Labrador,1,"Sabino Delgado Nº 583, Tel. 36362172 y 36331828",
345,"De la Fe en Cristo Jesús, Iglesia Apostólica. (Cristiana)",2,"Radio Nº 21, Tel. 3685 1948",Luis Bernal
347,"Templo ""San José Obrero""",1,"Antimonio Nº 840, Tel. 3633 2798",
347,"El Vergel, CRF (Pentecostal)",13,"Radio Nº 21, Tel. 36851948",Apostol José Félix Coronel
348,"Templo ""San José""",1,San José S/N,Gabriel
349,"San Juan Bautista,",1,"5 de Mayo e Independencia, Tel. 31100011",
356,"Templo ""De la Purísima""",1,Guadalupe Victoria No. 5  Tel. 36.84.34.26,
360,"Templo ""Santa Lucía""",1,"Morelos Nº 11, Tel. 38970926",
361,"Templo ""Santa Margarita Reina""",1,"Santa Clara No. 255, Tel. 3636-9954",
362,Nuestra Señora del Carmen,1,"Santa Rosa Nº 422, Tel. 36334293",
364,"Templo ""Nuestra Señora del Pueblito""",1,Juárez No. 5581 Tel. 36.27.03.89,
365,"Iglesia Bautista Fundamental ""La Gracia""",7,Av. de la Laguna No. 1409,
368,San Pablo Apóstol,15,Paulino Navarro Nº 825 y Calle T. Quintero  tel. 3633 3324,
369,"Templo ""Nuestra Señora de la Soledad""",1,Casco de la Hacienda,
370,"Parroquia ""La Visitación""",1,"Av. Tabachines Nº 2711 y P. Limas, Tel. 36603014",
371,"Templo ""Nuestra Señora del Tepeyac""",1,"Sarcófago, Nº 385, Tel. 36331478",
373,Parroquia de San Francisco,1,"Jalisco Nº 32, Tel.38970002",
446,Cristo Rey,1,Niños Héroes y Arista (en construcción),
377,"Templo ""Jesucristo Obrero""",1,Palmeras y Av. Tuzanía,
379,Evangelizadora de América,1,"Ping Pong Nº 139, Tel. 3660 2347",
379,Iglesia de Jesucristo de los Santos de los últimos días,5,Prolongación Alcalde,
381,Nuestra Señora de los Remedios,1,"Fuentes Nº 3262, Tel. 3634 2952",Pbro. Enrique
385,"Templo ""Jesús de Nazaret""",1,"Allende S/N cruza con Hidalgo, Tel. 3636 3953",
393,"Templo ""María Madre Nuestra""",1,Paseo San Arturo Sur No. 3255,
394,"Templo ""·La Virgen de Guadalupe""",1,"Manuel García Macías Nº 60, Tel. 3151 0278",Luis Francisco Águilar Aréchiga
396,"Templo ""San Antonio de Padua""",1,"Copalita Nº 100 B, Tel. 3664 3356",
399,Sagrado Corazón,1,"Libertad Nº 142, cruza M. Ocampo, Tel. 3556 1256",
408,"Templo ""Nuestra Señora de Guadalupe""",1,Arroyo Hondo Poniente,
418,"Templo ""Señor de los Rayos""",1,"Alberto Mora López 674, Meza Colorada Ote.",
421,"Templo ""San Isidro de Chapalita""",1,"Prado de las Gladiolas Nº 1543, Tel. 31219558",
242,San Miguel Arcángel,1,San Miguel y San Martín,
121,"Centro de Fe, Esperanza y amor",10,"Laurel y Tullipán, Tel. 36723129",
121,"Jesucristo Salva, Sana y Libera: Centro de Restauración Familiar El Vergel",2,Laurel y Álvaro Obregón,
121,"Iglesia Apostólica de la Fe en Cristo Jesús, A.R.",16,Rosal No.44,
121,Salón del Reino de los Testigos de Jehová,6,Loma Alta No. 38-A,
220,Aposento Alto (Cristiana),2,Francisco Villa No. 11,
225,Nuestra Señora de Guadalupe,1,Caoba (en construcción),
260,Capilla del Centro Cristiano Peniel,2,Pintores y Obreros,
147,Iglesia Bíblica de Guadalajara,3,"Av. Federalismo Norte No. 3780, Tel. 33662555",Lic. Sergio Escutia Hernández
194,Iglesia de Jesucristo de los Santos de los Últimos Días,5,Paseo Limas y Periférico,
194,Iglesia Cristiana (en remodelación),2,Periférico No. 3081,
97,Templo Cristiano Bíblico Fundamental Bautista,7,"Volcán Paricutín Nº 4918, Tel. 317755/36200756, Apartado 31-181.","Mario L. Phillipe, Pastor Emérito"
13,Centro Evangélico Cristiano,3,Calzada de los Enebros y Av. Jardines del Vergel.,
421,La Victoria,2,"Tajín Nº 1625, Tel. 31229011 / 31229090",José Antonio Martínez Rodríguez
19,"Iglesia Cristiana Monte Jer. 31:25,",2,"Galileo Galilei Nº 4148, Tel. 36327170 / 36624768",Iván Caballero
324,Nuevos Comienzos,2,"Turquesa Nº 1886 esq. Obsidiana, Tel. 31212150 / 21212170.",Joe y Ada Rosa
277,Inexistente,99,,
529,Sr. del Encino,1,Calle encino y Laureles,
275,Casa de Oración Vida Nueva,2,Salvador Vargas Nº 3034,Roberto Ornelas Díaz
97,Unidad de México,13,"Av. Volcán Ajusco Nº 1175, Tel 52-4674027",Rev. Tomás Drost
181,Misión de San Germán (mormones),5,Estepas Nº 1 entre Av. Patria y Clouthier,
356,Cristo Cambia la Vida (presbiteriana),2,"Galeana Nº 95-A, entre Pino Súarez y Allende, Tel. 36935457, 044331214203364",Gonzalo García Ríos
122,Iglesia de Cristo,0,"Av. Bethoveen Nº 3549, Tel. 36296286",Roberto Herrera Camacho
97,Iglesia de Cristo,6,"Volcán Popocatépetl Nº 2015, Tel. 36286818",José G. Palafox Haro
97,Iglesia Bíblica Ciudad del Sol,3,"Volcán Ajusco Nº 119, Tel. 30284141",Sr. Enrique González Gonzaga
122,Iglesia Bíblica Gracia,3,"San Luis González Gonzaga, Tel. 36284142",
220,Centtro de Restauración Familiar (Asamblea de Dios),3,"Alvaro Obregón Nº 113, Tel. 36600661/36600661",José Félix
346,San isidro Labrador,1,Carretera a San Isidro,
51,Iglesia Apostólica,16,"Adolfo López Mateos Nº 5110, Tel. 36322131",
16,Nuestra Señora Refugio de Pecadores,1,"Marbella Nº 2395, Tel. 36562626",
12,Iglesia Apostólica,16,Hilo Amarillo No. 48,
250,Centro Bíblico de Gracia,3,"Puerto Ensenada No. 5, cruza con Puerto Topolobampo",
97,Iglesia Cristiana Bautista Nuevo Jerusalén,2,Volcán Ceboruco No. 1184,
70,Santa Rita de Casia,1,Guadalupe y Santa Rita,
70,Prenoviciado Agustiniano,1,San Agustín No. 300,
490,Inexistente,99,,
491,inexistente,99,,
489,Casa de Oración Monticello,1,"Carretera a Colotlán s/n, Junto a la Hacienda Monticello",
421,"Artesi Marciales mooto, A.c.",0,"Tajin N° 1625, Tel.  3122 9090, estudio Biblico",Kyuneg Soon Kym
51,Iglesia,0,"Orión Nº 6320402, Tel. 36320402",Rafael Jiménez Valencia
77,Templo San Alfonso Ma. de Ligorio,1,"Misión de San Antonio Nº 100, Tel. 36287671",
274,"Centro de Fé, Esperanza y Amor",13,"Mangolia Nº 16, Tel. 36842766",Pastor Efraín Martínez López
25,"Parroquia ""Nuestra Señora del Rosario""",1,"Emiliano Zapata Nº 75, Tel. 38231623",
294,Corpus Christi,1,"Av. Manuel Clouthier Nº 525, Tel. 36291060",
27,Inexistente,99,,
43,Inexistente,99,,
45,Inexistente,99,,
526,Inexistente,99,,
345,San José,1,San José S/N,
413,Casa de Salvación (independiente),0,"Rinconada de los Olmos Nº 386, Tel. 33656344",Pastor Juan Carlos Romero Fajardo
109,Capilla del Sagrado Corazón,1,General J. Aguirre No. 566,
241,Sagrado Corazón,1,Paseo de los Ahuehuetes y Cerezos (en construcción),
241,Sin nombre,1,"Colorín e Indígena (en construcción, y abandonada)",
408,Nuestra Señora de la Esperanza,1,Hipólito Hernández y José Ma. Martínez (en construcción),
240,Nuestra Señora de la Luz,1,Eta y Chichen-Itzá,
112,"Iglesia ""Sagrado Corazón de Jesús""",1,Juana de Arco y Federico G. Lorca,
408,"Templo ""Divino Maestro""",1,Timoteo Velázquez y Beltrán del Pilar,
408,San Francisco,1,Ma. Inés Martínez esq. con Rodrigo de la Cruz,
408,"Espiritista Trinitario Mariano ""María Arca de Alianza""",0,Ignacio Espinoza No. 8,
264,Capilla de San Carlos Lwanga,1,"Gral. Francisco J. Mujica, esq. José Luis Farah. Tel. 3126 1042",Salvador López Ramírez
264,Cristiana Espiritual,3,Enrique Díaz de León No. 342 y José Luis Farah,
187,Iglesia León de Judá,2,"Av. Patria No. 204, Tel. 36738802",
438,- Inexistente -,99,,
250,"Casa Belén, movimiento de avance católico",1,Volcán Quinceo No. 19,
380,- Inexistente -,99,,
128,- Inexistente -,99,,
304,- Inexistente -,99,,
11,"Centro de Palabar, Fe y Gracia",0,"Río Tequila 646, Tel. 31200373",www.centrodepalabradefe.com
70,"Centro de Misión ""Parroquia Guadalupe Chapalita""",1,Calle del Parque NO. 440,
474,"Inexistente",99,,
475,"Inexistente",99,,
378,Inexistente,99,,
214,Inexistente,99,,
487,Inexistente,99,,
488,Inexistente,99,,
368,"Parroquia ""Santa Emereciana""",1,Paulino Olivera y Vista Alegre,
368,San José Obrero,1,Calle D. Colignon y Ma. de la Peña,
366,Iglesia Universal de Jesucristo en México A.R.,0,Ignacio L. Pesqueira entre Constituyentes y Alfonso Cabrioto,Rosalío Madera Báez
418,"Templo "" Pentecostés""",2,Buena Vista y Vista Puesta del Sol,
249,Templo Cristiano,2,Tamarindo y Av. Alberto Mora López,
228,Iglesia Cristiana Rios de Agua Viva,2,"Calle Jalisco s/n (Junto al barranco, hasta abajo)",
28,"Parroquia ""Santa Emerenciana""",1,"Alfonso Herrera No. 130, Tel: 3833 0115",
117,San Juan Crisóstomo,1,Don Bosco No. 115 Tel. 31.22.71.67,
54,"Templo ""Seminario Menor""",1,Lázaro Cárdenas No. 4249 Tel. 31.21.86.10,
399,"Parroquia ""Buen Pastor""",1,Melchor Ocampo No. 510 Tel. 36.53.03.91,
367,Parroquia El Calvario,1,"Av. B, No. 623 Tel. 36.33.22.27",
302,"Templo ""Cristo del Romeral""",1,Junto al Romeral,
198,"Parroquia ""Virgen de la Encarnación """,1,"Valle de los Cedros S/N, Apdo. 40, Tel. 38.32.61.24",
273,"Parroquia ""Evangelizadora de America""",1,Ping Pong No. 139 Tel. 36.60.23.47,
422,"Parroquia ""San Francisco""",1,Av. Zoquipan No. 1360  Tel. 38.24.89.00,
222,"Templo ""Nuestra Señora de Guadalupe""",1,Hogares Católicos,
225,Nuestra Señora de Zapopan Vicaria,1,Av. Río Blanco 1955,
358,"Templo ""Jesús Sacerdote""",1,Gral. Ortega entre Eva Briseño  Guadalupe Victoria No. 587 Tel. 36.33.52.26,
38,"Parroquia ""San José Esposo de María""",1,"Yahualica No. 4705 Tel. 36.60.38.33, Ingreso por Zapotlan",
299,"Templo ""San Juan Macías""",1,Av. Acueducto No. 5555 Tel. 33.43.47.35,
191,"Templo ""San Martín de Porres""",1,Cuarta Poniente S/N,
356,"Parroquia ""Santa Ana Tepetitlán""",1,Guadalupe Victoria No. 5 Tel. 36.84.34.26,
47,"Parroquia ""Nuestra Señora de Bugambilias""",1,Av. de las Magnolias No. 111 Tel. 36.84.59.57,
237,"Parroquia "" La Divina Providencia""",1,B. Domínguez No. 140 Tel. 31.80.24.02,Sr. Cura Gerardo Veles Ortis.
319,Centro Cristiano,2,Playa del Tesoro y Volcán Edna,Alejandro Ramírez Maciel
335,Santa María de los Ángeles,1,Calle Teatro de la República,
312,Corpus Christi,1,"Manuel J. Clouthier No. 525, Tel. 36291060",
78,Iglesia Bautista,7,Fresnos 47-A,
78,"Templo Evangélico ""Bet el"" A.R.",3,"Av. Central No. 60, frente a Glorieta",
22,"Templo ""San Juan Diego""",1,Mercurio y Cobre Tel. 31.80.33.26,
39,-Inexistente-,99,,
66,-Inexistente-,99,,
67,-Inexistente-,99,,
81,-Inexistente-,99,,
87,-Inexistente-,99,,
103,-Inexistente-,99,,
105,-Inexistente-,99,,
106,-Inexistente-,99,,
115,-Inexistente-,99,,
120,-Inexistente-,99,,
136,-Inexistente-,99,,
152,-Inexistente-,99,,
162,-Inexistente-,99,,
168,-Inexistente-,99,,
195,-Inexistente-,99,,
196,-Inexistente-,99,,
206,-Inexistente-,99,,
216,-Inexistente-,99,,
224,-Inexistente-,99,,
233,-Inexistente-,99,,
254,-Inexistente-,99,,
257,-Inexistente-,99,,
271,-Inexistente-,99,,
282,-Inexistente-,99,,
283,-Inexistente-,99,,
330,-Inexistente-,99,,
354,-Inexistente-,99,,
384,-Inexistente-,99,,
395,-Inexistente-,99,,
398,-Inexistente-,99,,
402,-Inexistente-,99,,
407,-Inexistente-,99,,
409,-Inexistente-,99,,
422,San Francisco de Asís,15,San Cristóbal No.173,
34,Monte de la Santa Cruz,1,Galeana y Priv. Galeana 2,
93,"San Maximiliano Ma. Kolbe, San Cristóbal Magallanes",1,Playa de Hornos No. 1128,
329,Sagrado Corazón (Convento Religioso),1,"Rinconada de las Acacias No. 95, Tel. 31 21 76 08",
274,Capilla La Sagrada Familia,1,"Paseo de la Juventud, esq. Paseo de los Fresnos",Juan Jiménez
91,,1,Calle Rosendo Salazar y Calle CTM,David
308,Palabra Viva,7,Goya # 45 Tel. 31651278,Sr. Leonel Smidt Madderra
47,Capilla De Nuestra Sra. De Guadalupe,1,Remanso Del Mapache Esq. Cto. Lince Norte,
240,Se venera a la virgen de Guadalupe,0,,
284,San Pablo,1,Fraccionamiento las Fuentes Zapopan,
300,El Fortin y Sagrado Corazon de Jesus,1,En Arenales Tapatios,
61,- Inexistente -,99,,
18,,1,"Centro Social ""Arboleda Infonavit""
Av. Sta. Margarita 140 Col. unidad Arboleda",
353,San Miguel Arcangel,1,Juan Vera S/N,Sr. Cura Cludio Vela Sànchez
6,Templo Cristiano,2,Por Hortencia y Clavel,
6,Templo Cristiano,2,Por Flor y San Jorge,
123,Capilla de culto católico,1,Lazaro Cárdenas #65,Ma. Guadalupe Esparza (encargada)
220,San Francisco Javier,1,Priv. Granados #12,Enriquez Santos Beas
101,Parroquia del inmaculado corazon de Maria,1,Santa Aurelia y Santo Domingo,
101,San Juan Diego,1,Calle San juan Diego y San Rafael,
363,Juan Pablo ll (en construccion),1,Calle Marina Mazatlan,
363,Salon del Reino  de los testigos de Jehova,6,Av. Sta. Margarita # 1404,
363,Iglesis Evangelica Pentecostes Cristo el el camino,3,Av. Tesistan,
428,La Santísima Trinidad,1,En el centro de la comuniad,Padre Claudio
110,Templo de Nuestra Señora del Rosario,1,Calle López Mateos,
429,Capilla de San Pedro y San Pablo,1,Calle López Mateos,
430,Capilla particular,0,"Área Municipal (invasión, además que está sin uso y cerrada)",
177,La Luz del Mundo,4,Jardín de Orquídeas No. 6,Ministro Julián Martínez
432,- Inexistente -,99,,
167,Iglesia en Construcción,1,Al ingreso del poblado,
234,Capilla en construcción,1,Cempasuchil y Violeta,
441,Inexistente,99,,
439,Inexistente,99,,
440,Inexistente,99,,
442,Inexistente,99,,
447,-Inexistente-,99,,
293,Iglesia Cristiana,2,Gran Duke y Lirios,
448,Sin nombre (en construcción),1,"Calle Morelos S/N, a un costados de Materiales Bonilla",Padre José Cruz Gamez Rodríguez
443,Iglesia del Señor,0,Juan Escutia No. 20,
449,- Inexistente -,99,,
56,- Inexistente -,99,,
434,- Inexistente -,99,,
435,- Inexistente -,99,,
450,Capilla de Nuestra Señora de Guadalupe,1,"Calandria, entre Codorniz y Cóndor",
259,Iglesia de Jesucristo y los Santos de los Últimos Días,5,Av. General Ramón Corona No. 2514,
1,Capilla de Nuestra Señora de Guadalupe,1,"San Silvestre No. 1, entre Volcán Quinceo y San Martín",Francisco Estrada Ortega
132,- Inexistente -,99,,
261,La Luz del Mundo,4,"Av. Palmira, esq. Miguel Alemán",
261,"Iglesia Bíblica Bautista ""Torre Fuerte""",7,San Antonio,
80,- Inexistente -,99,,
